"Month";"Price component";"Type of consumer";"Price (c/kWh)"
"2009M11";"Total price";"Household customer, annual consumption > 15 000 kWh";9.920
"2009M12";"Total price";"Household customer, annual consumption < 1 000 kW";17.066
"2009M12";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";14.211
"2009M12";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";13.093
"2009M12";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";11.247
"2009M12";"Total price";"Household customer, annual consumption > 15 000 kWh";9.993
"2010M01";"Total price";"Household customer, annual consumption < 1 000 kW";17.239
"2010M01";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";14.470
"2010M01";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";13.278
"2010M01";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";11.385
"2010M01";"Total price";"Household customer, annual consumption > 15 000 kWh";10.097
"2010M02";"Total price";"Household customer, annual consumption < 1 000 kW";17.628
"2010M02";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";14.761
"2010M02";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";13.502
"2010M02";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";11.538
"2010M02";"Total price";"Household customer, annual consumption > 15 000 kWh";10.234
"2010M03";"Total price";"Household customer, annual consumption < 1 000 kW";17.596
"2010M03";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";14.707
"2010M03";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";13.431
"2010M03";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";11.457
"2010M03";"Total price";"Household customer, annual consumption > 15 000 kWh";10.157
"2010M04";"Total price";"Household customer, annual consumption < 1 000 kW";17.756
"2010M04";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";14.759
"2010M04";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";13.446
"2010M04";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";11.447
"2010M04";"Total price";"Household customer, annual consumption > 15 000 kWh";10.171
"2010M05";"Total price";"Household customer, annual consumption < 1 000 kW";17.898
"2010M05";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";14.832
"2010M05";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";13.520
"2010M05";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";11.527
"2010M05";"Total price";"Household customer, annual consumption > 15 000 kWh";10.213
"2010M06";"Total price";"Household customer, annual consumption < 1 000 kW";18.130
"2010M06";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";15.003
"2010M06";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";13.632
"2010M06";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";11.612
"2010M06";"Total price";"Household customer, annual consumption > 15 000 kWh";10.296
"2010M07";"Total price";"Household customer, annual consumption < 1 000 kW";18.520
"2010M07";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";15.412
"2010M07";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";13.980
"2010M07";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";11.807
"2010M07";"Total price";"Household customer, annual consumption > 15 000 kWh";10.445
"2010M08";"Total price";"Household customer, annual consumption < 1 000 kW";18.201
"2010M08";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";15.184
"2010M08";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";13.805
"2010M08";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";11.726
"2010M08";"Total price";"Household customer, annual consumption > 15 000 kWh";10.422
"2010M09";"Total price";"Household customer, annual consumption < 1 000 kW";18.220
"2010M09";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";15.388
"2010M09";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";14.018
"2010M09";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";11.832
"2010M09";"Total price";"Household customer, annual consumption > 15 000 kWh";10.535
"2010M10";"Total price";"Household customer, annual consumption < 1 000 kW";18.297
"2010M10";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";15.378
"2010M10";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";14.031
"2010M10";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";11.844
"2010M10";"Total price";"Household customer, annual consumption > 15 000 kWh";10.514
"2010M11";"Total price";"Household customer, annual consumption < 1 000 kW";18.547
"2010M11";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";15.498
"2010M11";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";14.089
"2010M11";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";11.903
"2010M11";"Total price";"Household customer, annual consumption > 15 000 kWh";10.578
"2010M12";"Total price";"Household customer, annual consumption < 1 000 kW";18.522
"2010M12";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";15.637
"2010M12";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";14.241
"2010M12";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";12.054
"2010M12";"Total price";"Household customer, annual consumption > 15 000 kWh";10.737
"2011M01";"Total price";"Household customer, annual consumption < 1 000 kW";19.802
"2011M01";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";16.891
"2011M01";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";15.471
"2011M01";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.259
"2011M01";"Total price";"Household customer, annual consumption > 15 000 kWh";11.958
"2011M02";"Total price";"Household customer, annual consumption < 1 000 kW";20.127
"2011M02";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";17.108
"2011M02";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";15.635
"2011M02";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.313
"2011M02";"Total price";"Household customer, annual consumption > 15 000 kWh";11.994
"2011M03";"Total price";"Household customer, annual consumption < 1 000 kW";20.145
"2011M03";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";17.162
"2011M03";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";15.738
"2011M03";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.447
"2011M03";"Total price";"Household customer, annual consumption > 15 000 kWh";12.069
"2011M04";"Total price";"Household customer, annual consumption < 1 000 kW";20.201
"2011M04";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";17.187
"2011M04";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";15.750
"2011M04";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.450
"2011M04";"Total price";"Household customer, annual consumption > 15 000 kWh";12.086
"2011M05";"Total price";"Household customer, annual consumption < 1 000 kW";20.184
"2011M05";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";17.253
"2011M05";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";15.784
"2011M05";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.487
"2011M05";"Total price";"Household customer, annual consumption > 15 000 kWh";12.114
"2011M06";"Total price";"Household customer, annual consumption < 1 000 kW";20.086
"2011M06";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";17.321
"2011M06";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";15.790
"2011M06";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.489
"2011M06";"Total price";"Household customer, annual consumption > 15 000 kWh";12.166
"2011M07";"Total price";"Household customer, annual consumption < 1 000 kW";20.703
"2011M07";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";17.808
"2011M07";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";16.190
"2011M07";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.847
"2011M07";"Total price";"Household customer, annual consumption > 15 000 kWh";12.344
"2011M08";"Total price";"Household customer, annual consumption < 1 000 kW";20.761
"2011M08";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";17.546
"2011M08";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";15.990
"2011M08";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.698
"2011M08";"Total price";"Household customer, annual consumption > 15 000 kWh";12.274
"2011M09";"Total price";"Household customer, annual consumption < 1 000 kW";20.625
"2011M09";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";17.451
"2011M09";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";15.929
"2011M09";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.651
"2011M09";"Total price";"Household customer, annual consumption > 15 000 kWh";12.268
"2011M10";"Total price";"Household customer, annual consumption < 1 000 kW";20.588
"2011M10";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";17.442
"2011M10";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";15.871
"2011M10";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.645
"2011M10";"Total price";"Household customer, annual consumption > 15 000 kWh";12.276
"2011M11";"Total price";"Household customer, annual consumption < 1 000 kW";20.561
"2011M11";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";17.416
"2011M11";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";15.901
"2011M11";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.633
"2011M11";"Total price";"Household customer, annual consumption > 15 000 kWh";12.265
"2011M12";"Total price";"Household customer, annual consumption < 1 000 kW";20.524
"2011M12";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";17.397
"2011M12";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";15.903
"2011M12";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.684
"2011M12";"Total price";"Household customer, annual consumption > 15 000 kWh";12.293
"2012M01";"Total price";"Household customer, annual consumption < 1 000 kW";20.316
"2012M01";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";17.338
"2012M01";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";15.813
"2012M01";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.546
"2012M01";"Total price";"Household customer, annual consumption > 15 000 kWh";12.276
"2012M02";"Total price";"Household customer, annual consumption < 1 000 kW";20.305
"2012M02";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";17.426
"2012M02";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";15.898
"2012M02";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.640
"2012M02";"Total price";"Household customer, annual consumption > 15 000 kWh";12.244
"2012M03";"Total price";"Household customer, annual consumption < 1 000 kW";20.274
"2012M03";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";17.204
"2012M03";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";15.787
"2012M03";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.628
"2012M03";"Total price";"Household customer, annual consumption > 15 000 kWh";12.325
"2012M04";"Total price";"Household customer, annual consumption < 1 000 kW";20.480
"2012M04";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";17.106
"2012M04";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";15.665
"2012M04";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.472
"2012M04";"Total price";"Household customer, annual consumption > 15 000 kWh";12.146
"2012M05";"Total price";"Household customer, annual consumption < 1 000 kW";20.417
"2012M05";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";17.180
"2012M05";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";15.724
"2012M05";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.537
"2012M05";"Total price";"Household customer, annual consumption > 15 000 kWh";12.157
"2012M06";"Total price";"Household customer, annual consumption < 1 000 kW";20.371
"2012M06";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";17.174
"2012M06";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";15.588
"2012M06";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.365
"2012M06";"Total price";"Household customer, annual consumption > 15 000 kWh";12.022
"2012M07";"Total price";"Household customer, annual consumption < 1 000 kW";20.808
"2012M07";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";17.440
"2012M07";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";15.851
"2012M07";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.645
"2012M07";"Total price";"Household customer, annual consumption > 15 000 kWh";12.197
"2012M08";"Total price";"Household customer, annual consumption < 1 000 kW";20.809
"2012M08";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";17.430
"2012M08";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";15.878
"2012M08";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.638
"2012M08";"Total price";"Household customer, annual consumption > 15 000 kWh";12.196
"2012M09";"Total price";"Household customer, annual consumption < 1 000 kW";20.726
"2012M09";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";17.506
"2012M09";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";15.952
"2012M09";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.730
"2012M09";"Total price";"Household customer, annual consumption > 15 000 kWh";12.317
"2012M10";"Total price";"Household customer, annual consumption < 1 000 kW";20.578
"2012M10";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";17.371
"2012M10";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";15.873
"2012M10";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.707
"2012M10";"Total price";"Household customer, annual consumption > 15 000 kWh";12.274
"2012M11";"Total price";"Household customer, annual consumption < 1 000 kW";20.850
"2012M11";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";17.312
"2012M11";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";15.852
"2012M11";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.661
"2012M11";"Total price";"Household customer, annual consumption > 15 000 kWh";12.272
"2012M12";"Total price";"Household customer, annual consumption < 1 000 kW";20.616
"2012M12";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";17.015
"2012M12";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";15.723
"2012M12";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.591
"2012M12";"Total price";"Household customer, annual consumption > 15 000 kWh";12.255
"2013M01";"Total price";"Household customer, annual consumption < 1 000 kW";20.944
"2013M01";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";17.697
"2013M01";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";16.116
"2013M01";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.795
"2013M01";"Total price";"Household customer, annual consumption > 15 000 kWh";12.480
"2013M02";"Total price";"Household customer, annual consumption < 1 000 kW";21.538
"2013M02";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";17.854
"2013M02";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";16.199
"2013M02";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.868
"2013M02";"Total price";"Household customer, annual consumption > 15 000 kWh";12.488
"2013M03";"Total price";"Household customer, annual consumption < 1 000 kW";21.286
"2013M03";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";17.687
"2013M03";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";16.054
"2013M03";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.755
"2013M03";"Total price";"Household customer, annual consumption > 15 000 kWh";12.407
"2013M04";"Total price";"Household customer, annual consumption < 1 000 kW";21.508
"2013M04";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";17.673
"2013M04";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";16.041
"2013M04";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.732
"2013M04";"Total price";"Household customer, annual consumption > 15 000 kWh";12.337
"2013M05";"Total price";"Household customer, annual consumption < 1 000 kW";20.823
"2013M05";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";17.660
"2013M05";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";16.036
"2013M05";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.718
"2013M05";"Total price";"Household customer, annual consumption > 15 000 kWh";12.318
"2013M06";"Total price";"Household customer, annual consumption < 1 000 kW";20.867
"2013M06";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";17.735
