index;0;year
Kontiolahti;26396;1996
Korsnäs;18508;1996
Koski Tl;17379;1996
Kotka;26165;1996
Kouvola;26701;1996
Kristinestad;21597;1996
Kronoby;22777;1996
Kuhmo;17287;1996
Kuhmoinen;13476;1996
Kumlinge;24810;1996
Kuopio;23885;1996
Kuortane;18041;1996
Kurikka;19634;1996
Kustavi;18866;1996
Kuusamo;22289;1996
Kyyjärvi;16154;1996
Kärkölä;23404;1996
Kärsämäki;15956;1996
Kökar;25362;1996
Lahti;23403;1996
Laihia;24630;1996
Laitila;22798;1996
Lapinjärvi;16784;1996
Lapinlahti;17065;1996
Lappajärvi;17315;1996
Lappeenranta;26054;1996
Lapua;22484;1996
Laukaa;26016;1996
Lemi;22146;1996
Lemland;39740;1996
Lempäälä;30509;1996
Leppävirta;20067;1996
Lestijärvi;13900;1996
Lieksa;18367;1996
Lieto;33544;1996
Liminka;27096;1996
Liperi;19486;1996
Lohja;30103;1996
Loimaa;19579;1996
Loppi;22330;1996
Loviisa;23606;1996
Luhanka;12483;1996
Lumijoki;17477;1996
Lumparland;32534;1996
Larsmo;32075;1996
Luumäki;18057;1996
Malax;20790;1996
Mariehamn;34160;1996
Marttila;19177;1996
Masku;35485;1996
Merijärvi;17708;1996
Merikarvia;17195;1996
Miehikkälä;14295;1996
Mikkeli;22786;1996
Muhos;24287;1996
Multia;14271;1996
Muonio;22952;1996
Korsholm;32365;1996
Muurame;32775;1996
Mynämäki;23865;1996
Myrskylä;17879;1996
Mäntsälä;28432;1996
Mänttä-Vilppula;25468;1996
Mäntyharju;17006;1996
Naantali;31979;1996
Nakkila;26372;1996
Nivala;19829;1996
Nokia;28811;1996
Nousiainen;30157;1996
Nurmes;15357;1996
Nurmijärvi;39075;1996
Närpes;18769;1996
Orimattila;20716;1996
Oripää;16499;1996
Orivesi;19852;1996
Oulainen;23848;1996
Oulu;29237;1996
Outokumpu;17764;1996
Padasjoki;18751;1996
Paimio;31596;1996
Paltamo;16466;1996
Pargas;28255;1996
Parikkala;15226;1996
Parkano;21470;1996
Pedersöre;26885;1996
Pelkosenniemi;18384;1996
Pello;18910;1996
Perho;16695;1996
Pertunmaa;11686;1996
Petäjävesi;19182;1996
Pieksämäki;20933;1996
Pielavesi;13076;1996
Jakobstad;29299;1996
Pihtipudas;15226;1996
Pirkkala;34978;1996
Polvijärvi;12930;1996
Pomarkku;19287;1996
Pori;23560;1996
Pornainen;32696;1996
Porvoo;33150;1996
Posio;17152;1996
Pudasjärvi;17230;1996
Pukkila;18042;1996
Punkalaidun;14361;1996
Puolanka;15887;1996
Puumala;13768;1996
Pyhtää;27171;1996
Pyhäjoki;25270;1996
Pyhäjärvi;18293;1996
Pyhäntä;21904;1996
Pyhäranta;27785;1996
Pälkäne;20644;1996
Pöytyä;20109;1996
Raahe;32703;1996
Raseborg;26083;1996
Raisio;32589;1996
Rantasalmi;15078;1996
Ranua;17611;1996
Rauma;27394;1996
Rautalampi;14390;1996
Rautavaara;12362;1996
Rautjärvi;25040;1996
Reisjärvi;16263;1996
Riihimäki;26990;1996
Ristijärvi;13755;1996
Rovaniemi;25594;1996
Ruokolahti;23917;1996
Ruovesi;19116;1996
Rusko;33987;1996
Rääkkylä;11805;1996
Saarijärvi;18497;1996
Salla;17297;1996
Salo;25751;1996
Saltvik;30059;1996
Sastamala;20540;1996
Sauvo;20917;1996
Savitaipale;17959;1996
Savonlinna;21620;1996
Savukoski;17283;1996
Seinäjoki;26752;1996
Sievi;19527;1996
Siikainen;15008;1996
Siikajoki;19979;1996
Siikalatva;17278;1996
Siilinjärvi;30622;1996
Simo;25825;1996
Sipoo;38605;1996
Siuntio;36670;1996
Sodankylä;22206;1996
Soini;14453;1996
Somero;18459;1996
Sonkajärvi;16369;1996
Sotkamo;21068;1996
Sottunga;20951;1996
Sulkava;15482;1996
Sund;27826;1996
Suomussalmi;17773;1996
Suonenjoki;17752;1996
Sysmä;13564;1996
Säkylä;26220;1996
Taipalsaari;30876;1996
Taivalkoski;19602;1996
Taivassalo;18331;1996
Tammela;22144;1996
Tampere;25745;1996
Tervo;14322;1996
Tervola;16922;1996
Teuva;18512;1996
Tohmajärvi;14843;1996
Toholampi;18789;1996
Toivakka;18173;1996
Tornio;27612;1996
Turku;24413;1996
Tuusniemi;13572;1996
Tuusula;38681;1996
Tyrnävä;21762;1996
Ulvila;29577;1996
Urjala;17816;1996
Utajärvi;16294;1996
Utsjoki;24303;1996
Uurainen;19849;1996
Nykarleby;21621;1996
Uusikaupunki;26173;1996
Vaala;17000;1996
Vaasa;28492;1996
Valkeakoski;29835;1996
Vantaa;37751;1996
Varkaus;25186;1996
Vehmaa;17005;1996
Vesanto;13400;1996
Vesilahti;21410;1996
Veteli;20361;1996
Vieremä;16415;1996
Vihti;35291;1996
Viitasaari;17189;1996
Vimpeli;19871;1996
Virolahti;18938;1996
Virrat;17660;1996
Vårdö;28254;1996
Vörå;19853;1996
Ylitornio;16601;1996
Ylivieska;25437;1996
Ylöjärvi;30959;1996
Ypäjä;18226;1996
Ähtäri;21915;1996
Äänekoski;26152;1996
MK01 Uusimaa;34467;1996
MK02 Southwest Finland;26029;1996
MK04 Satakunta;24330;1996
MK05 Kanta-Häme;24793;1996
MK06 Pirkanmaa;25490;1996
MK07 Päijät-Häme;23290;1996
MK08 Kymenlaakso;26344;1996
MK09 South Karelia;24704;1996
MK10 South Savo;20355;1996
MK11 North Savo;21967;1996
MK12 North Karelia;19564;1996
MK13 Central Finland;23875;1996
MK14 South Ostrobothnia;21393;1996
MK15 Ostrobothnia;26638;1996
MK16 Central Ostrobothnia;24216;1996
MK17 North Ostrobothnia;25848;1996
MK18 Kainuu;21533;1996
MK19 Lapland;23821;1996
MK21 Åland;32635;1996
HVA01 East Uusimaa wellbeing services county;30668;1996
HVA02 Central Uusimaa wellbeing services county;34702;1996
HVA03 West Uusimaa wellbeing services county;39938;1996
HVA04 Vantaa and Kerava wellbeing services county;37744;1996
HVA05 Southwest Finland wellbeing services county;26029;1996
HVA06 Satakunta wellbeing services county;24330;1996
HVA06 Kanta-Häme wellbeing services county;24793;1996
HVA08 Pirkanmaa wellbeing services county;25490;1996
HVA09 Päijät-Häme wellbeing services county;23290;1996
HVA10 Kymenlaakso wellbeing services county;26344;1996
HVA11 South Karelia wellbeing services county;24704;1996
HVA12 South Savo wellbeing services county;20355;1996
HVA13 North Savo wellbeing services county;21967;1996
HVA14 North Karelia wellbeing services county;19564;1996
HVA15 Central Finland wellbeing services county;23875;1996
HVA16 South Ostrobothnia wellbeing services county;21393;1996
HVA17 Ostrobothnia wellbeing services county;26638;1996
HVA18 Central Ostrobothnia wellbeing services county;24216;1996
HVA19 North Ostrobothnia wellbeing services county;25848;1996
HVA20 Kainuu wellbeing services county;21533;1996
HVA21 Lapland wellbeing services county;23821;1996
HVA90 City of Helsinki;30881;1996
HVA91 Åland;32635;1996
SK011 Helsinki;34992;1996
SK014 Raasepori;27700;1996
SK015 Porvoo;31759;1996
SK016 Loviisa;22560;1996
SK021 Åboland-Turunmaa;25806;1996
SK022 Salo;24592;1996
SK023 Turku;27255;1996
SK024 Vakka-Suomi;24056;1996
SK025 Loimaa;20088;1996
SK041 Rauma;26865;1996
SK043 Pori;23805;1996
SK044 Pohjois-Satakunta;19456;1996
SK051 Hämeenlinna;25128;1996
SK052 Riihimäki;26035;1996
SK053 Forssa;22571;1996
SK061 Luoteis-Pirkanmaa;20540;1996
SK063 Etelä-Pirkanmaa;25729;1996
SK064 Tampere;26589;1996
SK068 Lounais-Pirkanmaa;19740;1996
SK069 Ylä-Pirkanmaa;21622;1996
SK071 Lahti;23290;1996
SK081 Kouvola;26701;1996
SK082 Kotka-Hamina;25977;1996
